home team,away team
19,15
13,16
9,14
10,12
1,2
20,7
4,6
19,5
3,17
8,18
15,11
6,8
17,13
11,9
7,4
12,3
2,20
5,1
18,19
16,10
14,15
9,6
20,18
13,12
15,7
8,10
3,16
5,11
1,17
19,2
4,14
10,13
2,15
14,5
7,6
12,9
11,19
3,1
4,8
16,20
18,17
20,10
8,3
9,16
1,12
15,18
6,11
19,4
17,7
5,2
13,14
13,8
3,20
17,19
18,2
10,1
16,15
7,5
12,6
14,11
4,9
15,4
5,13
8,7
6,16
9,3
11,10
1,18
19,14
20,12
2,17
18,6
16,1
3,2
12,19
20,15
17,5
7,11
10,4
14,8
13,9
5,16
6,1
19,3
15,17
4,12
11,18
14,7
2,13
9,10
8,20
17,8
7,2
20,9
12,15
10,19
18,5
1,11
16,14
3,6
13,4
